titel,sex,country 1,country 2,line of succession,interest 1,interest 2,interest 3,interest 4,religion,type,royalhouse,short
The Friends of the Swedish Museum of Natural History,,swedish,,,history and heritage,,,,,1,,tfotsmonh
The Gastronomic Academy,,international,,,business and industry,,,,,1,,tga
The Gripsholm Association,,swedish,,,history and heritage,,,,,1,,tgra
The Jussi Bjoerling Centenary,,swedish,,,arts and culture,,,,,1,,tjbc
Kulturen open air museum Lund,,swedish,,,arts and culture,,,,,1,,koaml
The Royal Automobile Club Sweden,,swedish,,,sport and recreation,,,,,1,,tracs
The Royal Swedish Academy of Engineering Sciences,,swedish,,,science and technology,,,,,1,,trsaoes
The Royal Swedish Academy of War Sciences,,swedish,,,science and technology,,,,,1,,trsaows
The Royal Swedish Aero Club,,swedish,,,social clubs ,,,,,1,,trsac
The Royal Swedish Academy of Sciences,,swedish,,,science and technology,,,,,1,,trsaoc
The Royal Swedish Society of Naval Sciences,,swedish,,,education,,,,,1,,trssons
The Swedish Cancer Society,,swedish,,,healthcare medical and hospices,,,,,1,,tscs
Save Visby City Wall,,swedish,,,history and heritage,,,,,1,,svcw
The Natural Step,,international,,,environment,,,,,1,,tns
The Keep Sweden Tidy Foundation,,swedish,,,environment,,,,,1,,tkstf
The Stockholm Water Foundation,,swedish,,,environment,,,,,1,,tstwf
The Swedish Flag Foundation,,swedish,,,history and heritage,,,,,1,,tsff
The Swedish Wetlands Fund,,swedish,,,environment,,,,,1,,tswf
The Stockholm Concert Hall Foundation,,swedish,,,arts and culture,,,,,1,,tschf
Stockholm Academic Male Chorus,,swedish,,,arts and culture,,,,,1,,samc
The Swedish Archaeological Society,,swedish,,,history and heritage,,,,,1,,tsas
The Swedish Bible Society,,swedish,,,faith,,,,,1,,tsbis
The Swedish Blue Star,,swedish,,,sport and recreation,,,,,1,,tsbs
The Swedish Society for the Protection of Animals,,swedish,,,animals,,,,,1,,tssftpoa
The Swedish Association for Hunting and Wildlife Management,,swedish,,,environment,,,,,1,,tsafhawm
The Swedish Kennel Club,,swedish,,,animals,,,,,1,,tskc
The Swedish Life Saving Society ,,swedish,,,community and civic,,,,,1,,tslss
Swedish Exercise Day ,,swedish,,,sport and recreation ,,,,,1,,sed
The Swedish Rotary Movement,,swedish,,,community and civic,,,,,1,,tsrm
The Friends of the Swedish Institute in Rome,,swedish,,,education,,,,,1,,tfotsiir
The Swedish Red Cross,,swedish,,,community and civic,,,,,1,,tsrc
The Swedish Tourist Association,,swedish,,,environment,,,,,1,,tsta
The Swedish Guide and Scout Association,,swedish,,,education,,,,,1,,tsgasa
The Swedish Guide and Scout Council,,swedish,,,education,,,,,1,,tsgasc
The Swedish Society for Anthropology and Geography,,swedish,,,history and heritage,,,,,1,,tssfaag
The Sweden America Foundation,,swedish,american,,education,,,,,1,,tsaf
The Swedish Association for Art,,swedish,,,arts and culture,,,,,1,,tsafa
The Swedish Local Heritage Federation,,swedish,,,history and heritage,,,,,1,,tslhf
The Swedish Lions,,swedish,,,sport and recreation ,,,,,1,,tsl
The Swedish Sports Confederation,,swedish,,,sport and recreation ,,,,,1,,tssc
The Orphei Draengar Choral Society,,swedish,,,arts and culture,,,,,1,,todcs
The Wilhelm Peterson Berger Society,,swedish,,,arts and culture,,,,,1,,twpbs
The World Scout Foundation,,international,,,community and civic,faith,,,,1,,twsf
Christopher ONeill,male,swedish,,10,sport and recreation,arts and culture,,,roman catholic,0,swedish,CON
Prince Philip,male,british,,,environment,sport and recreation,business and industry,armed services,,0,british,PP
1001 A Naature Trust,,international,,,environment,,,,,1,,1001ant
Bahamas National Trust,,international,,,environment,,,,,1,,bnt
Bharati Vidyapeeth Environment Education and Research Institute,,british,,,environment,,,,,1,,bveeari
BirdLife Australia,,australian,,,environment,,,,,1,,bla
Botanical Society of Scotland,,british,,,environment,,,,,1,,bsos
British Entomological and Natural History Society,,british,,,environment,,,,,1,,beanhs
British Trust for Ornithology,,british,,,environment,,,,,1,,btfo
Buxton Conservation Trust,,british,,,environment,,,,,1,,bct
Charles Darwin Foundation for the Galapagos Isles,,international,,,environment,,,,,1,,cdfftgi
Cornell University Laboratory of Ornithology,,international,,,environment,,,,,1,,culoo
Abbotsford Flying Club,,canadian,,,sport and recreation,,,,,1,,afc
All England Lawn Tennis and Croquet Club,,british,,,sport and recreation,,,,,1,,aeltacc
Alvis Owner Club,,british,,,sport and recreation,,,,,1,,aoc
Amateur Yacht Research Society,,british,,,sport and recreation,,,,,1,,ayrs
